¿ª¸í,³¯Â¥,±¸ºÐ,05~06½Ã,06~07½Ã,07~08½Ã,08~09½Ã,09~10½Ã,10~11½Ã,11~12½Ã,12~13½Ã,13~14½Ã,14~15½Ã,15~16½Ã,16~17½Ã,17~18½Ã,18~19½Ã,19~20½Ã,20~21½Ã,21~22½Ã,22~23½Ã,23~24½Ã,00~01½Ã,01~02½Ã,ÃÑÇÕ
µµ¸²Ãµ(247),3/1/2017,½ÂÂ÷,11,8,15,30,47,39,32,65,50,43,27,51,56,33,23,17,10,13,1,0,0,571
¾çÃµ±¸Ã»(248),3/1/2017,½ÂÂ÷,97,135,188,347,419,427,470,447,476,311,245,265,236,167,108,68,84,67,25,0,0,4582
½ÅÁ¤³×°Å¸®(249),3/1/2017,½ÂÂ÷,238,218,327,558,609,611,612,604,606,504,390,386,398,280,201,188,146,111,66,0,0,7053
¿ëµÎ(250),3/1/2017,½ÂÂ÷,29,33,47,83,79,58,101,130,162,167,167,173,132,103,77,61,42,32,17,2,0,1695
ÁöÃà(309),3/1/2017,½ÂÂ÷,0,15,14,52,82,63,61,113,74,70,90,61,68,34,21,16,8,3,3,0,0,848
±¸ÆÄ¹ß(310),3/1/2017,½ÂÂ÷,159,286,543,857,929,882,"1,136","1,131","1,206","1,333","1,419","1,537","1,479","1,186",912,707,619,535,112,0,0,16968
¿¬½Å³»(311),3/1/2017,½ÂÂ÷,687,915,"1,414","2,217","2,348","2,286","2,417","2,545","2,769","2,434","2,289","2,349","2,019","1,801","1,533","1,118","1,006",835,299,0,0,33281
ºÒ±¤(312),3/1/2017,½ÂÂ÷,262,332,521,792,917,981,"1,036","1,143","1,462","1,419","1,413","1,821","1,660","1,194",823,581,545,283,122,0,0,17307
³ì¹ø(313),3/1/2017,½ÂÂ÷,222,299,460,720,828,726,783,812,780,713,670,667,569,409,287,189,186,110,39,0,0,9469
È«Á¦(314),3/1/2017,½ÂÂ÷,265,411,616,980,"1,113","1,227","1,230","1,377","1,484","1,454","1,221","1,408","1,301",914,626,476,328,244,67,0,0,16742
¹«¾ÇÀç(315),3/1/2017,½ÂÂ÷,39,79,117,192,250,271,282,322,395,323,316,342,273,191,125,102,50,29,12,0,0,3710
µ¶¸³¹®(316),3/1/2017,½ÂÂ÷,132,119,154,278,366,447,826,"1,665","2,005","2,216","2,761","2,751","1,583",675,436,303,195,110,30,0,0,17052
°æº¹±Ã(317),3/1/2017,½ÂÂ÷,65,108,172,332,559,603,854,"1,157","1,676","2,232","3,087","5,082","3,807","3,082","4,211","2,455","1,195",699,173,1,0,31550
¾È±¹(318),3/1/2017,½ÂÂ÷,52,78,111,178,230,321,724,"1,034","1,320","2,000","3,215","3,964","4,258","3,057","2,801","1,689","1,057",519,129,0,0,26737
Á¾·Î3°¡(319),3/1/2017,½ÂÂ÷,31,40,59,46,94,131,158,225,305,305,484,605,715,663,574,553,378,240,109,0,0,5715
À»Áö·Î3°¡(320),3/1/2017,½ÂÂ÷,19,25,29,59,116,178,281,235,302,437,575,611,643,678,496,291,238,126,64,0,0,5403
µ¿´ëÀÔ±¸(322),3/1/2017,½ÂÂ÷,37,94,78,123,198,214,274,386,690,897,857,987,"1,047","1,220",590,423,824,307,89,0,0,9335
¾à¼ö(323),3/1/2017,½ÂÂ÷,169,204,273,495,650,644,636,724,858,754,636,731,663,507,397,436,372,266,120,0,0,9535
±ÝÈ£(324),3/1/2017,½ÂÂ÷,80,194,240,425,537,519,556,572,576,426,436,391,342,261,178,193,148,78,35,0,0,6187
¿Á¼ö(325),3/1/2017,½ÂÂ÷,72,141,202,377,482,531,624,605,694,588,533,661,586,418,295,206,208,135,47,1,0,7406
¾Ð±¸Á¤(326),3/1/2017,½ÂÂ÷,119,282,182,311,434,579,803,915,"1,434","1,428","1,557","1,733","1,676","1,785","1,502","2,088","1,307",893,319,0,0,19347
½Å»ç(327),3/1/2017,½ÂÂ÷,243,253,240,344,414,420,599,819,"1,276","1,353","1,718","2,124","2,293","1,973","1,768","1,904","1,940","1,519",408,0,0,21608
Àá¿ø(328),3/1/2017,½ÂÂ÷,30,74,102,171,260,264,332,321,386,282,279,277,331,269,119,129,94,75,31,0,0,3826
°í¼ÓÅÍ¹Ì³Î(329),3/1/2017,½ÂÂ÷,233,205,353,709,"1,299","1,965","2,771","3,210","3,729","4,230","5,073","6,161","6,024","5,474","5,105","5,451","4,704","2,689",854,0,0,60239
±³´ë(330),3/1/2017,½ÂÂ÷,44,92,80,143,202,200,313,375,494,537,432,542,504,684,424,356,404,454,113,1,0,6394
³²ºÎÅÍ¹Ì³Î(331),3/1/2017,½ÂÂ÷,91,187,340,548,858,"1,327","1,766","1,680","1,863","1,867","1,925","2,279","2,892","2,061","1,847","1,524","1,637","1,041",301,0,0,26034
¾çÀç(332),3/1/2017,½ÂÂ÷,156,315,421,636,765,872,"1,087","1,275","1,670","1,783","1,763","1,706","2,027","1,574","1,163","1,189","1,326",752,240,0,0,20720
¸ÅºÀ(333),3/1/2017,½ÂÂ÷,39,107,123,176,300,322,379,420,485,396,374,394,428,381,253,268,308,220,63,0,0,5436
µµ°î(334),3/1/2017,½ÂÂ÷,20,55,84,169,188,228,274,356,354,298,303,310,288,255,176,144,157,140,46,0,0,3845
´ëÄ¡(335),3/1/2017,½ÂÂ÷,48,170,192,305,373,401,556,610,770,596,579,606,652,680,408,357,409,559,71,0,0,8342
ÇÐ¿©¿ï(336),3/1/2017,½ÂÂ÷,6,23,20,40,74,72,95,80,109,79,90,121,88,74,63,48,63,42,7,0,0,1194
´ëÃ»(337),3/1/2017,½ÂÂ÷,70,130,227,362,403,447,512,512,533,437,371,409,496,329,205,208,160,120,38,0,0,5969
ÀÏ¿ø(338),3/1/2017,½ÂÂ÷,58,90,140,209,238,300,342,388,389,338,326,333,268,200,153,132,97,70,15,0,0,4086
¼ö¼­(339),3/1/2017,½ÂÂ÷,106,167,283,478,657,770,801,867,873,775,613,833,833,743,475,564,436,396,165,0,0,10835
°¡¶ô½ÃÀå(340),3/1/2017,½ÂÂ÷,77,123,185,339,376,444,535,635,564,474,536,480,413,407,274,294,190,151,62,0,0,6559
°æÂûº´¿ø(341),3/1/2017,½ÂÂ÷,61,106,131,253,354,277,340,373,354,323,202,275,257,228,167,156,122,94,20,0,0,4093
¿À±Ý(342),3/1/2017,½ÂÂ÷,72,94,180,298,330,320,321,335,312,238,214,222,194,151,107,111,90,73,11,0,0,3673
´ç°í°³(409),3/1/2017,½ÂÂ÷,212,246,492,849,822,712,795,907,825,807,591,701,570,510,367,253,206,167,31,0,0,10063
»ó°è(410),3/1/2017,½ÂÂ÷,344,498,814,"1,301","1,256","1,248","1,285","1,245","1,357","1,037",926,886,762,634,529,387,379,328,85,0,0,15301
³ë¿ø(411),3/1/2017,½ÂÂ÷,277,412,601,904,972,"1,029","1,108","1,360","1,379","1,306","1,276","1,331","1,387","1,327","1,060","1,173","1,069",939,375,2,0,19287
Ã¢µ¿(412),3/1/2017,½ÂÂ÷,392,520,820,"1,316","1,567","1,488","1,774","1,731","1,818","1,545","1,392","1,488","1,314","1,069",769,636,643,509,228,13,0,21032
½Ö¹®(413),3/1/2017,½ÂÂ÷,567,865,"1,292","2,122","2,251","1,944","2,027","1,959","2,023","1,639","1,429","1,429","1,256","1,021",896,629,498,369,156,0,0,24372
¼öÀ¯(°­ºÏ±¸Ã»)(414),3/1/2017,½ÂÂ÷,615,"1,037","1,558","2,416","2,671","2,458","2,571","2,574","2,739","2,386","2,223","2,276","2,031","1,714","1,528","1,241","1,025",786,387,0,0,34236
¹Ì¾Æ(415),3/1/2017,½ÂÂ÷,310,590,695,"1,098","1,092",972,"1,005",987,"1,089",955,890,849,729,551,588,443,318,210,88,0,0,13459
¹Ì¾Æ»ç°Å¸®(416),3/1/2017,½ÂÂ÷,378,718,998,"1,617","1,730","1,530","1,666","1,899","2,080","1,857","1,793","1,844","1,689","1,492","1,344","1,481",821,575,292,0,0,25804
±æÀ½(417),3/1/2017,½ÂÂ÷,248,455,725,"1,268","1,454","1,399","1,480","1,617","1,659","1,434","1,284","1,427","1,443","1,117",730,575,465,345,134,0,0,19259
¼º½Å¿©´ëÀÔ±¸(418),3/1/2017,½ÂÂ÷,173,361,509,844,"1,072","1,126","1,423","1,618","1,809","1,809","1,750","1,992","1,879","1,642","1,335","1,162","1,169",946,425,0,0,23044
ÇÑ¼º´ëÀÔ±¸(419),3/1/2017,½ÂÂ÷,210,238,309,600,668,718,806,912,994,"1,067","1,051","1,101",964,777,620,475,427,324,158,0,0,12419
ÇýÈ­(420),3/1/2017,½ÂÂ÷,126,240,252,433,536,598,828,"1,253","2,082","2,378","3,964","4,902","4,644","4,016","3,759","3,928","3,492","3,014","1,009",0,0,41454
