¿ª¸í,³¯Â¥,±¸ºÐ,05~06½Ã,06~07½Ã,07~08½Ã,08~09½Ã,09~10½Ã,10~11½Ã,11~12½Ã,12~13½Ã,13~14½Ã,14~15½Ã,15~16½Ã,16~17½Ã,17~18½Ã,18~19½Ã,19~20½Ã,20~21½Ã,21~22½Ã,22~23½Ã,23~24½Ã,00~01½Ã,01~02½Ã,ÃÑÇÕ
ºÒ±¤(312),3/24/2017,½ÂÂ÷,426,912,"2,981","3,372","1,636","1,067",916,916,"1,020",963,"1,123","1,190","1,339","1,634","1,049",698,555,583,274,76,0,22730
³ì¹ø(313),3/24/2017,½ÂÂ÷,335,773,"2,598","2,797","1,455",818,705,629,639,559,498,586,793,999,505,319,309,192,101,12,0,15622
È«Á¦(314),3/24/2017,½ÂÂ÷,364,"1,075","3,351","3,650","2,061","1,258","1,182","1,135","1,091","1,049","1,033","1,309","1,490","1,850",996,645,573,446,256,46,0,24860
¹«¾ÇÀç(315),3/24/2017,½ÂÂ÷,89,242,765,902,425,265,251,211,206,190,156,177,253,327,155,123,94,78,29,2,0,4940
µ¶¸³¹®(316),3/24/2017,½ÂÂ÷,238,279,844,964,626,436,449,469,438,467,564,771,646,812,470,255,252,276,69,22,0,9347
°æº¹±Ã(317),3/24/2017,½ÂÂ÷,112,236,740,"1,076",886,697,969,"1,013","1,300","1,767","2,332","2,617","3,185","5,486","2,389","1,590","1,574","1,454",573,100,0,30096
¾È±¹(318),3/24/2017,½ÂÂ÷,78,140,306,462,423,516,898,"1,316","1,546","1,617","2,041","2,621","3,605","6,576","2,757","1,776","1,918","1,506",516,86,0,30704
Á¾·Î3°¡(319),3/24/2017,½ÂÂ÷,23,47,66,109,172,240,359,370,471,511,767,769,"1,090","2,049","1,756",812,769,633,336,42,0,11391
À»Áö·Î3°¡(320),3/24/2017,½ÂÂ÷,20,44,86,162,286,343,376,379,487,613,641,669,"1,184","2,848","1,555",791,685,560,259,53,0,12041
µ¿´ëÀÔ±¸(322),3/24/2017,½ÂÂ÷,56,148,284,366,266,270,418,448,660,638,866,810,"1,391","2,503","1,137",774,"1,217",738,257,41,0,13288
¾à¼ö(323),3/24/2017,½ÂÂ÷,259,494,"1,424","2,081","1,236",826,697,779,948,777,813,971,"1,138","1,587","1,127",768,802,538,279,66,0,17610
±ÝÈ£(324),3/24/2017,½ÂÂ÷,155,477,"1,413","1,839","1,099",636,480,471,431,378,394,384,489,575,413,248,229,183,95,21,0,10410
¿Á¼ö(325),3/24/2017,½ÂÂ÷,122,410,"1,381","1,640",990,637,564,499,550,481,511,732,764,858,719,416,387,312,126,24,0,12123
¾Ð±¸Á¤(326),3/24/2017,½ÂÂ÷,136,362,839,"1,370",973,"1,073","1,379","1,503","1,704","2,061","2,398","2,747","3,643","6,106","5,293","3,603","2,630","2,270",927,177,0,41194
½Å»ç(327),3/24/2017,½ÂÂ÷,213,298,587,919,715,772,925,984,"1,349","1,640","1,857","2,123","3,066","6,141","4,525","2,720","3,052","3,197","1,694",274,0,37051
Àá¿ø(328),3/24/2017,½ÂÂ÷,60,261,935,"1,042",582,408,322,285,328,272,367,391,561,547,363,226,205,187,57,12,0,7411
°í¼ÓÅÍ¹Ì³Î(329),3/24/2017,½ÂÂ÷,250,335,"1,298","2,135","2,030","2,114","2,549","2,830","3,545","3,888","4,613","5,023","5,600","6,572","6,277","6,933","5,701","4,770","1,904",311,0,68678
±³´ë(330),3/24/2017,½ÂÂ÷,42,130,378,609,467,548,727,722,928,"1,089","1,265","1,483","1,950","3,375","1,653","1,149","1,155","1,299",620,131,0,19720
³²ºÎÅÍ¹Ì³Î(331),3/24/2017,½ÂÂ÷,99,372,"1,288","2,079","1,600","1,497","1,696","1,672","2,209","2,215","2,357","2,789","4,051","7,809","4,484","3,110","2,726","2,870",941,145,0,46009
¾çÀç(332),3/24/2017,½ÂÂ÷,160,624,"1,832","2,370","1,606","1,469","1,545","1,669","2,039","2,199","2,574","3,240","5,148","10,822","5,683","3,358","3,093","2,681","1,141",190,0,53443
¸ÅºÀ(333),3/24/2017,½ÂÂ÷,63,260,818,926,603,494,492,459,530,571,681,757,"1,237","2,995","1,396",712,683,571,232,40,0,14520
µµ°î(334),3/24/2017,½ÂÂ÷,43,168,640,784,449,350,329,307,352,340,548,576,797,"1,138",629,402,301,290,90,15,0,8548
´ëÄ¡(335),3/24/2017,½ÂÂ÷,84,526,"1,482","1,448",792,578,559,567,541,576,814,815,"1,248","1,147","1,023",611,753,"1,275",245,38,0,15122
ÇÐ¿©¿ï(336),3/24/2017,½ÂÂ÷,22,70,240,209,166,126,156,199,396,387,606,631,724,791,167,137,142,67,21,4,0,5261
´ëÃ»(337),3/24/2017,½ÂÂ÷,128,441,"1,372","1,564",754,586,494,439,496,582,598,"1,148",984,"1,551",658,408,353,358,143,23,0,13080
ÀÏ¿ø(338),3/24/2017,½ÂÂ÷,86,319,"1,182","1,021",657,623,650,681,726,666,654,854,"1,134",738,446,289,181,184,53,19,0,11163
¼ö¼­(339),3/24/2017,½ÂÂ÷,173,569,"1,725","1,808","1,145","1,067",804,956,962,821,"1,126","1,632","1,805","2,648","1,153","1,051",831,743,381,118,0,21518
°¡¶ô½ÃÀå(340),3/24/2017,½ÂÂ÷,98,320,"1,112","1,201",815,625,590,578,618,514,591,645,876,"1,319",737,466,438,349,194,22,0,12108
°æÂûº´¿ø(341),3/24/2017,½ÂÂ÷,87,321,"1,162","1,269",642,494,434,388,417,378,434,487,640,"1,132",433,264,249,170,82,9,0,9492
¿À±Ý(342),3/24/2017,½ÂÂ÷,110,323,"1,407","1,527",745,387,357,328,312,254,297,311,404,827,351,195,159,128,69,5,0,8496
´ç°í°³(409),3/24/2017,½ÂÂ÷,381,787,"2,546","2,344","1,393",801,751,673,679,603,546,535,748,746,613,377,268,218,103,23,0,15135
»ó°è(410),3/24/2017,½ÂÂ÷,585,"1,812","5,000","4,147","2,026","1,301","1,096","1,067","1,051",914,760,"1,109","1,104","1,138",795,532,478,513,243,39,0,25710
³ë¿ø(411),3/24/2017,½ÂÂ÷,403,"1,229","2,873","2,927","1,615","1,131","1,102","1,161","1,301","1,116","1,141","1,297","1,493","1,701","1,247","1,306","1,138","1,418",888,208,0,26695
Ã¢µ¿(412),3/24/2017,½ÂÂ÷,685,"1,871","5,453","4,543","2,369","1,714","1,553","1,505","1,535","1,321","1,492","1,685","1,904","2,471","1,512","1,026",971,"1,052",624,95,0,35381
½Ö¹®(413),3/24/2017,½ÂÂ÷,899,"2,521","7,286","6,919","3,664","2,203","1,837","1,686","1,592","1,372","1,207","1,554","1,731","1,920","1,381",860,730,591,343,78,0,40374
¼öÀ¯(°­ºÏ±¸Ã»)(414),3/24/2017,½ÂÂ÷,929,"2,421","7,817","7,991","4,219","2,685","2,341","2,461","2,413","2,251","2,134","2,703","3,000","3,841","2,428","1,546","1,387","1,238",818,203,0,54826
¹Ì¾Æ(415),3/24/2017,½ÂÂ÷,485,"1,098","3,277","3,447","1,705","1,052",944,934,"1,082",987,"1,009","1,072","1,431","1,572",960,629,533,642,234,37,0,23130
¹Ì¾Æ»ç°Å¸®(416),3/24/2017,½ÂÂ÷,601,"1,774","5,428","5,543","2,948","1,777","1,418","1,516","1,559","1,609","1,702","1,772","2,101","2,420","1,899","1,761","1,144",884,608,112,0,38576
±æÀ½(417),3/24/2017,½ÂÂ÷,430,"1,544","5,183","5,027","2,513","1,521","1,275","1,331","1,357","1,278","1,500","1,754","2,138","2,958","1,625","1,002",785,833,397,78,0,34529
¼º½Å¿©´ëÀÔ±¸(418),3/24/2017,½ÂÂ÷,222,954,"3,005","3,293","2,009","1,319","1,405","1,464","1,336","1,410","1,772","1,795","2,335","3,244","1,963","1,418","1,566","1,682",978,204,0,33374
ÇÑ¼º´ëÀÔ±¸(419),3/24/2017,½ÂÂ÷,302,627,"1,719","2,049","1,212",742,753,842,"1,023",929,"1,229","1,243","1,623","1,878","1,278",840,804,977,412,64,0,20546
ÇýÈ­(420),3/24/2017,½ÂÂ÷,140,362,841,"1,109","1,047","1,325","1,530","1,919","2,042","2,257","2,997","3,051","4,440","6,268","3,494","2,868","4,504","6,150","2,836",500,0,49680
µ¿´ë¹®(421),3/24/2017,½ÂÂ÷,396,180,234,363,666,907,"1,240","1,526","1,859","2,174","2,641","2,784","4,019","4,246","2,242","1,488","1,308","1,471",893,117,0,30754
µ¿´ë¹®¿ª»ç¹®È­°ø¿ø(422),3/24/2017,½ÂÂ÷,484,281,350,531,543,685,731,905,934,"1,309","1,512","1,640","2,310","3,866","2,850","2,044","2,234","2,216","1,492",353,0,27270
Ãæ¹«·Î(423),3/24/2017,½ÂÂ÷,141,207,484,826,830,"1,110","1,211","1,441","1,617","1,816","2,347","2,606","3,813","7,986","4,910","3,084","3,150","2,742","1,647",442,0,42410
¸íµ¿(424),3/24/2017,½ÂÂ÷,59,157,263,459,"1,068","1,391","1,500","1,756","1,756","2,226","2,943","3,352","3,845","6,698","4,463","3,727","4,306","4,185","2,120",192,0,46466
È¸Çö(425),3/24/2017,½ÂÂ÷,82,157,246,432,596,898,"1,368","1,816","2,366","2,832","3,119","3,477","4,590","6,348","3,353","2,329","1,508",906,436,50,0,36909
¼­¿ï¿ª(426),3/24/2017,½ÂÂ÷,193,269,550,690,530,486,537,638,655,622,709,740,"1,239","3,398","1,526",839,789,683,316,99,0,15508
¼÷´ëÀÔ±¸(427),3/24/2017,½ÂÂ÷,111,345,888,"1,304",892,733,854,918,933,"1,005","1,240","1,581","2,106","3,079","1,621","1,055","1,167","1,083",741,143,0,21799
»ï°¢Áö(428),3/24/2017,½ÂÂ÷,17,88,261,435,251,162,222,338,439,296,301,417,476,"1,197",637,330,341,272,151,14,1,6646
½Å¿ë»ê(429),3/24/2017,½ÂÂ÷,51,163,476,618,490,407,472,609,608,674,780,861,"1,463","3,421","1,947","1,054",909,635,376,62,0,16076
ÀÌÃÌ(430),3/24/2017,½ÂÂ÷,49,229,733,850,525,370,993,535,511,504,737,982,"1,024","1,485",563,379,371,265,123,24,0,11252
µ¿ÀÛ(431),3/24/2017,½ÂÂ÷,13,62,274,321,222,176,149,164,157,130,171,151,249,359,180,116,85,85,51,7,0,3122
ÃÑ½Å´ëÀÔ±¸(432),3/24/2017,½ÂÂ÷,279,804,"2,546","3,247","1,774","1,198","1,111","1,155","1,240","1,233","1,133","1,306","1,608","2,227","1,441","1,251","1,048","1,210",820,162,0,26793
»ç´ç(433),3/24/2017,½ÂÂ÷,460,"1,173","3,977","4,596","2,938","1,776","1,447","1,680","1,652","1,474","1,532","1,600","1,832","2,314","1,918","1,598","1,850","1,858","1,219",230,0,37124
³²ÅÂ·É(434),3/24/2017,½ÂÂ÷,21,39,242,372,218,113,74,73,67,51,150,267,223,502,293,73,43,25,8,3,0,2857
¼­¿ï¿ª(150),3/25/2017,½ÂÂ÷,479,419,622,"1,643","2,336","2,571","3,421","4,357","4,167","3,599","3,773","5,014","5,571","4,447","3,313","3,135","2,997","2,259",964,45,0,55132
½ÃÃ»(151),3/25/2017,½ÂÂ÷,64,116,177,244,373,384,588,"1,012","1,339","1,889","2,990","3,874","3,237","4,727","4,029","3,583","2,176","1,030",343,11,0,32186
Á¾°¢(152),3/25/2017,½ÂÂ÷,158,183,193,327,417,646,"1,018","1,483","2,226","2,611","3,191","4,118","4,932","4,759","4,065","4,597","4,868","3,543","1,719",67,0,45121
Á¾·Î3°¡(153),3/25/2017,½ÂÂ÷,229,192,186,361,604,893,"1,432","2,233","2,928","3,333","3,621","4,166","4,664","4,018","3,265","3,295","2,973","2,310",922,26,0,41651
Á¾·Î5°¡(154),3/25/2017,½ÂÂ÷,90,129,168,322,477,838,"1,266","1,871","2,419","3,057","3,172","3,197","3,782","3,411","2,542","2,132","1,544","1,032",342,14,0,31805
µ¿´ë¹®(155),3/25/2017,½ÂÂ÷,586,352,387,665,819,879,910,"1,148","1,254","1,328","1,568","1,568","1,773","1,593","1,101",948,761,555,285,11,0,18491
½Å¼³µ¿(156),3/25/2017,½ÂÂ÷,297,290,364,525,686,687,803,887,991,"1,074","1,037","1,232","1,420","1,430",822,609,485,345,145,3,0,14132
Á¦±âµ¿(157),3/25/2017,½ÂÂ÷,150,208,361,630,881,"1,106","1,445","1,795","2,091","2,245","2,339","2,480","1,899","1,284",686,497,318,239,92,7,0,20753
Ã»·®¸®(ÁöÇÏ)(158),3/25/2017,½ÂÂ÷,484,557,787,"1,128","1,578","1,504","1,855","2,161","2,390","2,337","2,672","3,056","2,886","2,043","1,610","1,170","1,006",655,267,11,0,30157
µ¿¹¦¾Õ(159),3/25/2017,½ÂÂ÷,104,107,129,212,264,368,637,847,"1,257","1,432","1,670","1,846","1,739","1,440",636,347,234,149,73,17,0,13508
½ÃÃ»(201),3/25/2017,½ÂÂ÷,47,77,116,185,291,395,595,"1,015","1,328","1,603","2,220","2,830","2,466","3,171","2,584","2,604","1,324",725,250,2,0,23828
À»Áö·ÎÀÔ±¸(202),3/25/2017,½ÂÂ÷,110,102,147,333,507,754,"1,094","1,496","2,215","2,703","3,645","5,344","5,827","6,058","4,836","6,562","4,814","2,676","1,187",6,0,50416
À»Áö·Î3°¡(203),3/25/2017,½ÂÂ÷,40,87,122,230,316,416,550,734,"1,085","1,262","1,273","1,768","1,924","1,317","1,107","1,152",886,520,230,1,0,15020
À»Áö·Î4°¡(204),3/25/2017,½ÂÂ÷,34,61,80,170,316,398,569,715,878,"1,124","1,290","1,466","1,438","1,119",797,516,419,209,126,0,0,11725
µ¿´ë¹®¿ª»ç¹®È­°ø¿ø(205),3/25/2017,½ÂÂ÷,400,274,252,401,515,672,"1,004",965,"1,095","1,368","1,592","1,801","2,177","1,829","1,635","1,535","1,509","1,378",706,11,0,21119
½Å´ç(206),3/25/2017,½ÂÂ÷,220,324,365,692,744,749,859,957,"1,054","1,092","1,125","1,241","1,468","1,358",845,722,550,477,216,5,0,15063
»ó¿Õ½Ê¸®(207),3/25/2017,½ÂÂ÷,165,292,428,744,809,740,805,867,895,773,741,810,821,720,510,383,314,264,121,2,0,11204
¿Õ½Ê¸®(¼ºµ¿±¸Ã»)(208),3/25/2017,½ÂÂ÷,317,311,419,772,892,890,"1,095","1,469","1,544","1,465","1,401","1,475","1,605","1,375","1,145","1,145","1,191","1,310",863,11,0,20695
ÇÑ¾ç´ë(209),3/25/2017,½ÂÂ÷,69,82,96,142,188,265,446,606,601,682,"1,104",966,"1,111",614,443,319,365,338,190,3,0,8630
¶Ò¼¶(210),3/25/2017,½ÂÂ÷,171,258,360,629,746,781,899,869,940,"1,011","1,124","1,188","1,111",986,641,681,511,398,157,0,0,13461
¼º¼ö(211),3/25/2017,½ÂÂ÷,194,278,398,626,808,770,"1,004",981,"1,202","1,178","1,283","1,539","1,749","1,523","1,118",772,757,835,328,1,0,17344
°Ç´ëÀÔ±¸(212),3/25/2017,½ÂÂ÷,"1,083",944,"1,086","1,916","2,158","1,828","1,975","2,488","2,880","2,935","3,167","3,497","3,834","3,673","3,196","3,644","4,003","4,779","2,960",10,0,52056
±¸ÀÇ(213),3/25/2017,½ÂÂ÷,394,647,884,"1,680","1,632","1,322","1,390","1,490","1,499","1,303","1,161","1,277","1,268","1,113",782,660,619,533,258,3,0,19915
°­º¯(214),3/25/2017,½ÂÂ÷,299,623,"1,165","2,366","3,526","3,923","4,326","4,861","4,538","4,036","3,824","4,110","4,077","3,531","3,050","2,567","1,928","1,482",552,4,0,54788
Àá½Ç³ª·ç(215),3/25/2017,½ÂÂ÷,83,222,454,843,971,917,"1,001","1,190","1,149",973,978,943,"1,057",723,453,459,308,250,108,4,0,13086
Àá½Ç(216),3/25/2017,½ÂÂ÷,423,"1,230","1,871","2,995","3,778","3,665","4,226","5,271","5,726","5,757","6,051","7,253","7,958","7,680","6,638","7,230","5,926","5,043","1,653",15,0,90389
Àá½Ç»õ³»(217),3/25/2017,½ÂÂ÷,257,375,710,"1,271","1,450","1,426","1,673","2,095","1,979","1,742","1,566","1,770","1,896","1,687","1,363","1,230","1,449","1,398",759,10,0,26106
Á¾ÇÕ¿îµ¿Àå(218),3/25/2017,½ÂÂ÷,75,176,229,477,617,765,819,838,838,822,"1,055","4,782","1,406",898,"1,415",408,319,229,97,6,0,16271
»ï¼º(219),3/25/2017,½ÂÂ÷,209,231,325,520,668,736,"1,263","1,935","2,590","3,505","3,637","4,782","5,275","5,247","3,888","4,075","3,409","2,492",576,1,0,45364
¼±¸ª(220),3/25/2017,½ÂÂ÷,290,382,497,742,992,"1,070","1,597","2,286","2,854","2,512","2,655","2,937","3,177","2,980","1,865","1,653","2,051","1,757",606,13,0,32916
¿ª»ï(221),3/25/2017,½ÂÂ÷,145,345,318,531,721,854,"1,114","1,586","2,106","1,986","2,220","2,525","2,667","2,298","1,542","1,420","1,862","1,375",507,2,0,26124
°­³²(222),3/25/2017,½ÂÂ÷,848,915,834,"1,298","1,666","2,267","3,250","4,933","6,586","6,413","6,817","8,386","9,229","8,364","6,025","6,003","7,405","8,840","4,599",25,0,94703
±³´ë(223),3/25/2017,½ÂÂ÷,119,351,390,781,986,"1,048","1,466","1,841","2,030","2,170","1,924","2,089","2,237","2,629","1,717","1,578","1,832","1,785",598,12,0,27583
¼­ÃÊ(224),3/25/2017,½ÂÂ÷,49,170,380,483,653,740,"1,237","1,709","1,624","1,875","1,663","1,672","1,920","1,534",820,780,807,640,191,0,0,18947
¹æ¹è(225),3/25/2017,½ÂÂ÷,101,257,360,665,854,808,945,"1,330","1,344","1,251","1,120","1,266","1,618","1,204",764,714,643,596,283,4,0,16127
»ç´ç(226),3/25/2017,½ÂÂ÷,426,683,960,"1,683","1,980","1,942","1,954","2,339","2,691","2,844","2,756","2,714","2,782","2,730","2,750","2,852","3,136","3,229","1,745",18,0,42214
³«¼º´ë(227),3/25/2017,½ÂÂ÷,358,617,"1,064","1,835","2,132","1,925","2,051","2,471","2,450","2,154","2,228","2,201","2,195","1,919","1,333","1,049",799,838,385,7,0,30011
¼­¿ï´ëÀÔ±¸(228),3/25/2017,½ÂÂ÷,960,"1,121","1,746","2,939","3,225","2,892","3,183","3,654","4,064","3,462","3,242","3,559","3,831","3,409","2,383","2,099","2,042","2,027","1,012",10,0,50860
ºÀÃµ(229),3/25/2017,½ÂÂ÷,539,667,"1,007","1,646","1,751","1,443","1,483","1,561","1,621","1,295","1,167","1,296","1,220","1,042",740,663,551,441,205,2,0,20340
½Å¸²(230),3/25/2017,½ÂÂ÷,"1,549","1,999","3,040","5,203","5,451","4,432","4,607","4,843","4,831","4,429","4,089","4,192","4,373","4,019","3,379","2,674","2,779","2,663","1,407",11,0,69970
½Å´ë¹æ(231),3/25/2017,½ÂÂ÷,776,960,"1,464","2,303","2,500","1,873","1,827","1,755","1,811","1,614","1,386","1,549","1,533","1,234",891,795,586,441,247,3,0,25548
±¸·ÎµðÁöÅÐ´ÜÁö(232),3/25/2017,½ÂÂ÷,"1,392","1,382","1,971","3,404","3,426","3,059","3,032","3,281","3,357","2,817","2,879","3,105","3,303","3,178","2,165","1,933","1,910","1,489",704,6,0,47793
´ë¸²(233),3/25/2017,½ÂÂ÷,"1,291",961,"1,354","2,266","2,561","1,776","1,818","1,978","1,891","1,663","1,501","1,582","1,794","1,333","1,007",934,773,669,319,2,0,27473
½Åµµ¸²(234),3/25/2017,½ÂÂ÷,"1,426","1,080","1,689","2,698","3,089","2,772","3,248","4,040","4,554","4,472","4,666","4,929","5,398","4,691","3,811","3,342","3,545","2,918","1,195",3,0,63566
¹®·¡(235),3/25/2017,½ÂÂ÷,122,228,332,644,811,839,"1,023","1,111","1,155","1,347","1,217","1,131","1,186","1,067",839,525,600,571,243,0,0,14991
¿µµîÆ÷±¸Ã»(236),3/25/2017,½ÂÂ÷,198,266,379,744,921,831,"1,026","1,112","1,180","1,113","1,084","1,225","1,219","1,041",782,823,783,643,257,3,0,15630
´ç»ê(237),3/25/2017,½ÂÂ÷,232,326,529,974,"1,143","1,101","1,224","1,511","1,449","1,242","1,398","1,484","1,414","1,343","1,138",645,599,543,327,2,0,18624
ÇÕÁ¤(238),3/25/2017,½ÂÂ÷,426,491,615,"1,048","1,140","1,159","1,337","1,546","1,798","1,896","2,136","2,477","2,671","2,687","2,237","2,546","3,063","3,198","1,800",12,0,34283
È«´ëÀÔ±¸(239),3/25/2017,½ÂÂ÷,"2,849","1,880","1,496","1,699","2,245","2,466","2,856","3,354","4,005","4,634","5,643","7,191","8,111","8,085","7,673","8,068","10,125","11,701","7,048",67,0,101196
½ÅÃÌ(240),3/25/2017,½ÂÂ÷,692,616,659,"1,138","1,443","1,791","2,350","3,170","3,847","3,635","3,695","4,255","5,015","4,631","3,924","4,120","4,713","5,873","3,449",20,0,59036
ÀÌ´ë(241),3/25/2017,½ÂÂ÷,130,205,296,477,642,744,938,"1,609","1,579","1,329","1,690","2,079","2,128","2,049","1,392","1,152","1,189",944,341,1,0,20914
¾ÆÇö(242),3/25/2017,½ÂÂ÷,133,299,349,588,660,650,713,712,755,696,635,695,789,626,445,316,268,208,81,2,0,9620
ÃæÁ¤·Î(243),3/25/2017,½ÂÂ÷,135,202,252,420,462,480,519,680,776,798,696,967,"1,189",833,615,408,409,277,78,2,0,10198
¿ë´ä(244),3/25/2017,½ÂÂ÷,90,84,132,237,216,201,198,180,210,136,158,143,166,96,73,61,44,21,16,0,0,2462
½Å´ä(245),3/25/2017,½ÂÂ÷,32,35,66,111,73,76,83,90,110,53,83,98,89,82,30,15,35,19,3,0,0,1183
½Å¼³µ¿(246),3/25/2017,½ÂÂ÷,43,42,46,87,109,166,252,339,379,404,469,533,504,567,262,145,113,98,40,0,0,4598
µµ¸²Ãµ(247),3/25/2017,½ÂÂ÷,11,15,25,45,64,53,70,61,52,48,55,66,35,58,18,13,17,8,4,0,0,718
¾çÃµ±¸Ã»(248),3/25/2017,½ÂÂ÷,141,168,341,561,520,553,511,537,466,388,369,330,393,262,161,89,80,87,16,0,0,5973
½ÅÁ¤³×°Å¸®(249),3/25/2017,½ÂÂ÷,306,315,510,710,742,723,724,717,671,586,547,485,477,453,281,217,205,159,84,0,0,8912
¿ëµÎ(250),3/25/2017,½ÂÂ÷,26,32,57,100,96,121,164,178,176,163,169,175,157,132,91,53,60,44,29,0,0,2023
ÁöÃà(309),3/25/2017,½ÂÂ÷,2,25,59,70,106,68,79,94,81,65,95,112,74,64,28,14,11,6,4,0,0,1057
±¸ÆÄ¹ß(310),3/25/2017,½ÂÂ÷,366,607,839,"1,326","1,343","1,333","1,487","1,426","1,352","1,229","1,301","1,533","1,440","1,208",975,765,719,706,158,0,0,20113
¿¬½Å³»(311),3/25/2017,½ÂÂ÷,860,"1,286","2,133","3,247","3,016","2,909","2,994","3,097","3,242","2,905","2,470","2,579","2,619","2,060","1,623","1,413","1,378","1,108",527,4,0,41470
ºÒ±¤(312),3/25/2017,½ÂÂ÷,289,494,733,"1,268","1,317","1,259","1,299","1,274","1,507","1,340","1,372","1,510","1,462","1,216",886,735,554,481,155,2,0,19153
³ì¹ø(313),3/25/2017,½ÂÂ÷,244,417,685,"1,078","1,098",903,963,887,942,736,690,776,722,514,312,280,198,166,57,0,0,11668
È«Á¦(314),3/25/2017,½ÂÂ÷,336,543,851,"1,452","1,534","1,460","1,438","1,580","1,729","1,468","1,391","1,428","1,314","1,087",697,542,436,311,146,0,0,19743
¹«¾ÇÀç(315),3/25/2017,½ÂÂ÷,59,120,208,294,354,306,340,307,308,272,219,259,321,225,121,96,57,44,16,0,0,3926
µ¶¸³¹®(316),3/25/2017,½ÂÂ÷,150,174,231,468,526,550,591,730,688,773,748,869,850,691,339,247,246,145,37,1,0,9054
°æº¹±Ã(317),3/25/2017,½ÂÂ÷,97,161,284,519,697,645,937,"1,437","1,861","2,163","2,369","3,160","3,213","2,817","2,288","2,041","1,843","1,013",306,0,0,27851
¾È±¹(318),3/25/2017,½ÂÂ÷,69,91,150,256,383,469,"1,007","1,656","1,783","2,203","2,660","3,461","3,897","3,213","2,459","2,342","1,959",817,229,0,0,29104
Á¾·Î3°¡(319),3/25/2017,½ÂÂ÷,35,54,48,90,114,229,301,330,473,644,542,610,766,742,681,530,423,470,147,0,0,7229
À»Áö·Î3°¡(320),3/25/2017,½ÂÂ÷,21,30,61,89,220,219,271,330,471,630,682,890,934,641,548,478,429,232,104,0,0,7280
µ¿´ëÀÔ±¸(322),3/25/2017,½ÂÂ÷,84,89,124,188,233,288,456,515,739,"1,042",771,"1,049","1,475","1,661",966,786,994,438,154,0,0,12052
¾à¼ö(323),3/25/2017,½ÂÂ÷,209,271,427,762,891,792,919,910,988,880,888,903,"1,136",878,577,512,410,349,162,0,0,12864
±ÝÈ£(324),3/25/2017,½ÂÂ÷,121,267,342,622,718,566,632,622,662,573,410,504,534,386,239,233,182,173,75,0,0,7861
¿Á¼ö(325),3/25/2017,½ÂÂ÷,81,203,331,542,702,641,771,773,897,814,606,743,771,569,399,302,323,201,98,1,0,9768
¾Ð±¸Á¤(326),3/25/2017,½ÂÂ÷,120,249,301,509,726,"1,044","1,690","2,278","2,709","2,958","3,312","3,700","3,737","2,993","2,228","2,735","1,812","1,394",420,0,0,34915
½Å»ç(327),3/25/2017,½ÂÂ÷,279,331,297,473,587,726,"1,160","1,566","2,030","2,370","2,728","3,606","3,611","2,930","2,690","2,468","2,717","2,736",865,0,0,34170
Àá¿ø(328),3/25/2017,½ÂÂ÷,40,101,176,311,378,360,430,464,442,446,325,490,516,327,215,211,136,122,40,0,0,5530
°í¼ÓÅÍ¹Ì³Î(329),3/25/2017,½ÂÂ÷,239,252,733,"1,628","2,622","3,396","4,489","5,213","5,378","6,680","6,387","6,967","7,618","7,355","6,346","6,780","5,219","3,637","1,262",0,0,82201
±³´ë(330),3/25/2017,½ÂÂ÷,42,102,120,240,290,339,438,715,798,808,677,772,849,"1,072",770,595,756,766,251,1,0,10401
³²ºÎÅÍ¹Ì³Î(331),3/25/2017,½ÂÂ÷,117,228,505,"1,072","1,531","2,121","2,696","2,731","2,975","2,966","2,822","3,210","3,406","2,734","2,033","1,665","1,746","1,644",407,0,0,36609
¾çÀç(332),3/25/2017,½ÂÂ÷,149,396,577,965,"1,125","1,247","1,638","2,284","2,807","2,725","2,623","2,739","2,905","2,548","2,360","1,933","1,786","1,232",407,1,0,32447
¸ÅºÀ(333),3/25/2017,½ÂÂ÷,46,133,206,325,418,391,443,516,575,627,634,574,625,560,437,358,328,312,69,0,0,7577
µµ°î(334),3/25/2017,½ÂÂ÷,36,77,177,279,295,279,370,478,612,575,525,524,558,459,222,204,185,176,47,0,0,6078
´ëÄ¡(335),3/25/2017,½ÂÂ÷,64,220,352,539,537,544,730,957,993,840,763,921,"1,137","1,074",610,387,502,847,121,0,0,12138
ÇÐ¿©¿ï(336),3/25/2017,½ÂÂ÷,12,31,51,84,121,93,169,258,429,576,657,734,771,703,148,94,146,66,13,0,0,5156
´ëÃ»(337),3/25/2017,½ÂÂ÷,94,180,320,549,611,553,593,646,706,555,502,561,579,444,257,214,189,147,65,0,0,7765
ÀÏ¿ø(338),3/25/2017,½ÂÂ÷,69,117,202,352,411,509,538,604,612,524,349,502,385,282,201,233,130,73,22,0,0,6115
¼ö¼­(339),3/25/2017,½ÂÂ÷,149,243,464,821,"1,025","1,345","1,092","1,367","1,273",938,"1,030","1,123","1,162",920,648,586,497,438,199,0,0,15320
°¡¶ô½ÃÀå(340),3/25/2017,½ÂÂ÷,91,161,270,498,557,605,690,756,748,697,602,630,535,430,379,311,278,233,77,0,0,8548
°æÂûº´¿ø(341),3/25/2017,½ÂÂ÷,78,114,238,433,441,422,423,465,487,344,348,321,310,238,158,174,176,110,33,0,0,5313
