연번,영업장면적,업태명,,,,,,감성주점
581,43.92,한식,,,,,,
582,61.6,한식,,,,,,
583,48.19,한식,,,,,,
584,28.1,한식,,,,,,
585,59.2,경양식,,,,,,
586,59.2,한식,,,,,,
587,32.93,식육(숯불구이),,,,,,
588,123.17,한식,,,,,,
589,138.9,식육(숯불구이),,,,,,
590,49.5,식육(숯불구이),,,,,,
591,64.6,통닭(치킨),,,,,,
592,122.44,한식,,,,,,
593,43.32,까페,,,,,,
594,30.7,한식,,,,,,
595,71.2,한식,,,,,,
596,117.15,한식,,,,,,
597,58,경양식,,,,,,
598,14.4,한식,,,,,,
599,14,한식,,,,,,
600,32.4,회집,,,,,,
601,18.04,한식,,,,,,
602,49.5,한식,,,,,,
603,46,회집,,,,,,
604,30.15,통닭(치킨),,,,,,
605,206.51,식육(숯불구이),,,,,,
606,16.9,한식,,,,,,
607,66.59,회집,,,,,,
608,6.1,한식,,,,,,
609,24,한식,,,,,,
610,178.1,기타,,,,,,
611,98.4,한식,,,,,,
612,24.12,한식,,,,,,
613,104.64,호프/통닭,,,,,,
614,63.9,한식,,,,,,
615,102,한식,,,,,,
616,44,호프/통닭,,,,,,
617,31.62,한식,,,,,,
618,127.33,한식,,,,,,
619,124.53,한식,,,,,,
620,44.8,한식,,,,,,
621,99.3,한식,,,,,,
622,114.4,한식,,,,,,
623,15,한식,,,,,,
624,78.34,한식,,,,,,
625,36.1,호프/통닭,,,,,,
626,114,회집,,,,,,
627,164.76,식육(숯불구이),,,,,,
628,44.4,까페,,,,,,
629,133.4,한식,,,,,,
630,166.98,까페,,,,,,
631,280.51,중국식,,,,,,
632,36.83,중국식,,,,,,
633,54.87,한식,,,,,,
634,13.68,한식,,,,,,
635,47.17,한식,,,,,,
636,22.44,호프/통닭,,,,,,
637,95.12,한식,,,,,,
638,124.76,한식,,,,,,
639,50.82,호프/통닭,,,,,,
640,20.97,한식,,,,,,
641,81.09,한식,,,,,,
642,66.75,한식,,,,,,
643,72.75,한식,,,,,,
644,114.46,한식,,,,,,
645,123.75,한식,,,,,,
646,132.84,한식,,,,,,
647,72.98,한식,,,,,,
648,62.25,기타,,,,,,
649,57.12,한식,,,,,,
650,20.11,호프/통닭,,,,,,
651,28.73,한식,,,,,,
652,80.8,한식,,,,,,
653,31.84,한식,,,,,,
654,61.52,한식,,,,,,
655,104.49,한식,,,,,,
656,54.4,한식,,,,,,
657,77.49,회집,,,,,,
658,51.78,호프/통닭,,,,,,
659,97.45,호프/통닭,,,,,,
660,36.45,한식,,,,,,
661,77.95,한식,,,,,,
662,51.08,경양식,,,,,,
663,81.9,한식,,,,,,
664,30.75,한식,,,,,,
665,127.47,한식,,,,,,
666,33.2,한식,,,,,,
667,18.53,한식,,,,,,
668,22.15,까페,,,,,,
669,22,한식,,,,,,
670,143.87,한식,,,,,,
671,48.68,한식,,,,,,
672,103.69,식육(숯불구이),,,,,,
673,74.8,호프/통닭,,,,,,
674,58.48,한식,,,,,,
675,132.11,한식,,,,,,
676,112.04,탕류(보신용),,,,,,
677,59.05,한식,,,,,,
678,59.13,한식,,,,,,
679,46.62,한식,,,,,,
680,82,한식,,,,,,
681,35.66,한식,,,,,,
682,30.34,한식,,,,,,
683,41.48,중국식,,,,,,
684,134.77,한식,,,,,,
685,76.16,한식,,,,,,
686,178.81,한식,,,,,,
687,49.07,까페,,,,,,
688,44.88,호프/통닭,,,,,,
689,56.68,한식,,,,,,
690,82.34,식육(숯불구이),,,,,,
691,61.66,한식,,,,,,
692,37.12,한식,,,,,,
693,223.65,식육(숯불구이),,,,,,
694,34.1,한식,,,,,,
695,430.04,식육(숯불구이),,,,,,
696,110.88,식육(숯불구이),,,,,,
697,97.36,회집,,,,,,
698,62.98,한식,,,,,,
699,56.26,까페,,,,,,
700,63.24,회집,,,,,,
701,269.04,식육(숯불구이),,,,,,
702,126,호프/통닭,,,,,,
703,68.2,한식,,,,,,
704,27.75,한식,,,,,,
705,52.08,한식,,,,,,
706,172.72,식육(숯불구이),,,,,,
707,91.44,한식,,,,,,
708,143.1,한식,,,,,,
709,85.36,한식,,,,,,
710,21,한식,,,,,,
711,43.2,한식,,,,,,
712,74,한식,,,,,,
713,39.16,한식,,,,,,
714,67.22,식육(숯불구이),,,,,,
715,21.76,한식,,,,,,
716,120,중국식,,,,,,
717,188.82,식육(숯불구이),,,,,,
718,165,한식,,,,,,
719,278.4,한식,,,,,,
720,21.7,중국식,,,,,,
721,59.2,한식,,,,,,
722,25.06,한식,,,,,,
723,115.74,한식,,,,,,
724,47.1,한식,,,,,,
725,114.03,한식,,,,,,
726,72.15,한식,,,,,,
727,35.13,한식,,,,,,
728,63.51,한식,,,,,,
729,48.1,한식,,,,,,
730,39.8,호프/통닭,,,,,,
731,94.47,한식,,,,,,
732,47.88,한식,,,,,,
733,104.37,한식,,,,,,
734,45.72,회집,,,,,,
735,99.34,한식,,,,,,
736,94.97,경양식,,,,,,
737,78.03,까페,,,,,,
738,234.22,중국식,,,,,,
739,41.49,호프/통닭,,,,,,
740,18.35,한식,,,,,,
741,20.5,한식,,,,,,
742,79.21,한식,,,,,,
743,292.2,탕류(보신용),,,,,,
744,59,회집,,,,,,
745,109.39,한식,,,,,,
746,332.62,한식,,,,,,
747,55.87,한식,,,,,,
748,67.33,한식,,,,,,
749,174.38,한식,,,,,,
750,32.2,분식,,,,,,
751,64.91,한식,,,,,,
752,68.78,식육(숯불구이),,,,,,
753,130.54,한식,,,,,,
754,101.5,한식,,,,,,
755,31,중국식,,,,,,
756,162.88,한식,,,,,,
757,212.57,한식,,,,,,
758,213.1,한식,,,,,,
759,18.1,한식,,,,,,
760,46.6,호프/통닭,,,,,,
761,81.9,한식,,,,,,
762,20.38,한식,,,,,,
763,43.3,한식,,,,,,
764,110.1,호프/통닭,,,,,,
765,26.58,한식,,,,,,
766,106.3,한식,,,,,,
767,70.92,한식,,,,,,
768,128.58,한식,,,,,,
769,57.89,한식,,,,,,
770,108.86,식육(숯불구이),,,,,,
771,157.98,한식,,,,,,
772,90.39,한식,,,,,,
773,60.04,한식,,,,,,
774,229.35,한식,,,,,,
775,40.5,호프/통닭,,,,,,
776,139.86,기타,,,,,,
777,37.83,호프/통닭,,,,,,
778,157,호프/통닭,,,,,,
779,66.65,한식,,,,,,
780,75.66,한식,,,,,,
781,75.95,식육(숯불구이),,,,,,
782,41.16,한식,,,,,,
783,66.88,한식,,,,,,
784,44.46,탕류(보신용),,,,,,
785,18.2,한식,,,,,,
786,117.84,한식,,,,,,
787,44.55,한식,,,,,,
788,50.7,한식,,,,,,
789,90.36,통닭(치킨),,,,,,
790,76.76,한식,,,,,,
791,86.71,한식,,,,,,
792,213.61,회집,,,,,,
793,72.28,한식,,,,,,
794,25.6,한식,,,,,,
795,26.88,식육(숯불구이),,,,,,
796,34.18,한식,,,,,,
797,66.12,한식,,,,,,
798,23.94,한식,,,,,,
799,324.9,한식,,,,,,
800,53.05,한식,,,,,,
801,43.89,한식,,,,,,
802,32.9,한식,,,,,,
803,28.64,한식,,,,,,
804,137.7,한식,,,,,,
805,133.8,한식,,,,,,
806,23.32,한식,,,,,,
807,42.3,호프/통닭,,,,,,
808,58.3,한식,,,,,,
809,293.83,식육(숯불구이),,,,,,
810,59.49,호프/통닭,,,,,,
811,156.66,일식,,,,,,
812,28.52,한식,,,,,,
813,85.56,통닭(치킨),,,,,,
814,81.73,한식,,,,,,
815,35.15,한식,,,,,,
816,65.88,한식,,,,,,
817,94.96,복어취급,,,,,,
818,26.75,한식,,,,,,
819,54.29,한식,,,,,,
820,36.54,한식,,,,,,
