년도,연번,시설명,인증구분,인증서 번호,인증 기간,인증등급,"도,시",시군구,비고
2017,5,영덕세무서 울진지서 청사,예비인증,제1135호,'17.02.13.～'22.02.12.,우수,경상북도,울진군,공공
2017,6,행복모아 장애인표준사업장,예비인증,제1136호,'17.02.13.～'22.02.12.,최우수,충청북도,청주시,민간
2017,7,행복경로당,본인증,제316호,'17.02.27.～'22.02.26.,우수,부산광역시,해운대구,공공
2017,8,해운대구 복합보육시설,예비인증,제1176호,'17.03.09.～'22.03.08.,우수,부산광역시,해운대구,공공
2017,9,친환경로컬푸드 매장,예비인증,제1177호,'17.03.09.～'22.03.08.,우수,강원도,고성군,공공
2017,10,건양대학병원 어린이집,예비인증,제1178호,'17.03.09.～'22.03.08.,우수,대전광역시,서구,민간
2017,11,해운대 문화놀이센터,본인증,제324호,'17.03.13.～'22.03.12.,우수,부산광역시,해운대구,공공
2017,12,반여2동 6통지역 경로당,예비인증,제1207호,'17.03.23.～'22.03.22.,우수,부산광역시,해운대구,공공
2017,13,돌샘행복마을 복합시설,예비인증,제1208호,'17.03.23.～'22.03.22.,우수,서울특별시,관악구,공공
2017,14,용지면 주민자치센터,예비인증,제1209호,'17.03.23.～'22.03.22.,우수,전라북도,김제시,공공
2017,15,조동8리 경로당,본인증,제335호,'17.03.29.～'22.03.28.,우수,강원도,정선군,공공
2017,16,오포 건강생활지원센터,예비인증,제1217호,'17.03.29.～'22.03.28.,우수,경기도,광주시,공공
2017,17,반구공영주차장,본인증,제345호,'17.04.05.～'22.04.04.,우수,울산광역시,중구,공공
2017,18,여의도우체국,예비인증,제1230호,'17.04.05.～'22.04.04.,우수,서울특별시,영등포구,공공
2017,19,반여1동 중리마을 경로당(가칭),예비인증,제1231호,'17.04.05.～'22.04.04.,우수,부산광역시,해운대구,공공
2017,20,성암초등학교,예비인증,제1242호,'17.04.11.～'22.04.10.,우수,경상북도,경산시,공공
2017,21,행정중심복합도시 선거관리위원회 청사,예비인증,제1250호,'17.04.14.～'22.04.13.,우수,세종특별자치시,보람동,공공
2017,22,탄광지역 통합관광지원센터,예비인증,제1251호,'17.04.14.～'22.04.13.,우수,강원도,영월군,공공
2017,23,내장산국립공원 백암사무소,예비인증,제1252호,'17.04.14.～'22.04.13.,우수,전라남도,장성군,공공
2017,24,봉산동 주민센터,본인증,제359호,'17.05.18.～'22.05.17.,우수,강원도,원주시,공공
2017,25,구미인동우체국,본인증,제364호,'17.05.23.～'22.05.22.,우수,경상북도,구미시,공공
2017,26,㈜지앤지티씨,예비인증,제1330호,'17.05.23.～'22.05.22.,우수,인천광역시,계양구,민간
2017,27,서귀포소방서 청사,예비인증,제1331호,'17.05.23.～'22.05.22.,우수,제주특별자치도,서귀포시,공공
2017,28,서천군 생활체육센터,예비인증,제1332호,'17.05.23.～'22.05.22.,우수,충청남도,서천군,공공
2017,29,중문동주민센터 청사,예비인증,제1333호,'17.05.23.～'22.05.22.,우수,제주특별자치도,서귀포시,공공
2017,30,수영구 스포츠문화타운,예비인증,제1347호,'17.05.29.～'22.05.28.,우수,부산광역시,수영구,공공
2017,31,적금보건진료소,예비인증,제1348호,'17.05.29.～'22.05.28.,우수,전라남도,여수시,공공
2017,32,송도보건진료소,예비인증,제1349호,'17.05.29.～'22.05.28.,우수,전라남도,여수시,공공
2017,33,공립 서연정 어린이집,예비인증,제1352호,'17.05.30.～'22.05.29.,우수,부산광역시,강서구,공공
2017,34,청림동 어르신 쉼터,예비인증,제1353호,'17.05.30.～'22.05.29.,우수,경상북도,포항시,공공
2017,35,광천보건진료소,예비인증,제1354호,'17.05.30.～'22.05.29.,우수,경상남도,남해군,공공
2017,36,경상남도 고성군 회화면사무소,본인증,제380호,'17.06.12.～'22.06.11.,우수,경상남도,고성군,공공
2017,37,비산3동 주민센터,예비인증,제1392호,'17.06.13.～'22.06.12.,우수,경기도,안양시,공공
2017,38,주식회사 크린탑,예비인증,제1414호,'17.06.21.～'22.06.20.,우수,전라남도,장성군,민간
2017,39,㈜승영에프앤비,예비인증,제1415호,'17.06.21.～'22.06.20.,우수,전라남도,장성군,민간
2017,40,관산리 체육공원 공중화장실,예비인증,제1429호,'17.06.28.～'22.06.27.,우수,충청남도,청양군,공공
2017,41,모가면 다목적관,예비인증,제1430호,'17.06.28.～'22.06.27.,우수,경기도,이천시,공공
2017,42,도계 노인복지관,예비인증,제1431호,'17.06.28.～'22.06.27.,우수,강원도,삼척시,공공
2017,43,서울북부광역등기소,예비인증,제1432호,'17.06.28.～'22.06.27.,우수,서울특별시,도봉구,공공
2017,44,군포시 방짜유기장 전수교육관,예비인증,제1464호,'17.07.07.～'22.07.06.,우수,경기도,군포시,공공
2017,45,소하동 오리경로당,예비인증,제1465호,'17.07.07.～'22.07.06..,우수,경기도,광명시,공공
2017,46,노들섬 특화공간 조성사업,예비인증,제1476호,'17.07.11.～'22.07.10.,최우수,서울특별시,용산구,공공
2017,47,진잠건강나눔센터,본인증,제406호,'17.07.11.～'22.07.10.,우수,대전광역시,유성구,공공
2017,48,㈜에이스엘이디,예비인증,제1494호,'17.07.18.～'22.07.17.,우수,경기도,용인시,민간
2017,49,수산식품산업 거점단지 조성사업,예비인증,제1495호,'17.07.18.～'22.07.17.,일반,충청남도,보령시,공공
2017,50,선동리 보건진료소,예비인증,제1499호,'17.07.19.～'22.07.18.,우수,경기도,광주시,공공
2017,51,당감4동주민센터(건강생활지원센터),예비인증,제1500호,'17.07.19.～'22.07.18.,우수,부산광역시,부산진구,공공
2017,52,망우3동 주택가 공용주차장 및 주민센터,예비인증,제1514호,'17.07.24.～'22.07.23.,우수,서울특별시,중랑구,공공
